Dataset;Linkage;Info;Sptype
SC4_spFurtherEdu2_S_.dta;;;
SC4_spGap_S_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC4_spMilitary_S_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC4_spParentGap_S_.dta;"""ID_t"" ""wave"" ""splink""";;
SC4_spParentSchool_S_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC4_spParentSibling_S_.dta;;Nicht mergebar - separat anbieten;
SC4_spParLeave_S_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC4_spPartner_S_.dta;;Nicht mergebar - separat anbieten;
SC4_spSchool_S_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC4_spSchoolExtExam_S_.dta;"""ID_t"" ""wave""";;
SC4_spSibling_S_.dta;;Nicht mergebar - separat anbieten;
SC4_spUnemp_S_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC4_spVocExtExam_S_.dta;"""ID_t"" ""wave""";;
SC4_spVocPrep_S_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC4_spVocTrain_S_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC4_spVolunteerWork_S_.dta;;Nicht mergebar - separat anbieten;
SC4_TargetMethods_S_.dta;"""ID_t"" ""wave""";;
SC4_Weights_S_.dta;"""ID_t""";;
SC4_xTargetCompetencies_S_.dta;"""ID_t""";;
SC4_xTargetCORONA_S_.dta;"""ID_t""";;
SC4_xTargetSpecialNeedsCompetencies_S_.dta;"""ID_t""";;
;;;
SC3_Biography_S_.dta;;nicht mergebar da schon im personenjahresdatensatz;
SC3_CohortProfile_S_.dta;"""ID_t"" ""wave""";;
SC3_EditionBackups_S_.dta;;Nicht mergebar - nicht anbieten;
SC3_Education_S_.dta;;Nicht mergebar - separat anbieten;
SC3_FurtherEducation_S_.dta;;Nicht mergebar - separat anbieten;
SC3_ParentMethods_S_.dta;"""ID_t"" ""wave""";;
SC3_pCourseClass_S_.dta;;Nicht mergebar - separat anbieten;
SC3_pCourseGerman_S_.dta;;Nicht mergebar - separat anbieten;
SC3_pCourseMath_S_.dta;;Nicht mergebar - separat anbieten;
SC3_pEducator_S_.dta;;Nicht mergebar - separat anbieten;
SC3_pParent_S_.dta;"""ID_t"" ""wave""";;
SC3_pTarget_S_.dta;"""ID_t"" ""wave""";;
SC3_spChild_S_.dta;;Nicht mergebar - separat anbieten;
SC3_spChildCohab_S_.dta;;Nicht mergebar - separat anbieten;
SC3_spCourses_S_.dta;;Nicht mergebar - separat anbieten;
SC3_spEmp_S_.dta;"""ID_t"" ""wave"" ""splink""";;26
SC3_spFurtherEdu1_S_.dta;;Nicht mergebar - separat anbieten;
SC3_spGap_S_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC3_spMilitary_S_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC3_spParentGap_S_.dta;"""ID_t"" ""wave"" ""splink""";;
SC3_spParentSchool_S_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC3_spParLeave_S_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC3_spSchool_S_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC3_spSchoolExtExam_S_.dta;"""ID_t"" ""wave""";;
SC3_spSibling_S_.dta;;Nicht mergebar - separat anbieten;
SC3_spSiblingTarget_S_.dta;;Nicht mergebar - separat anbieten;
SC3_spUnemp_S_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC3_spVocExtExam_S_.dta;"""ID_t"" ""wave""";;
SC3_spVocPrep_S_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC3_spVocTrain_S_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC3_spVolunteerWork_S_.dta;;Nicht mergebar - separat anbieten;
SC3_TargetMethods_S_.dta;"""ID_t"" ""wave""";;
SC3_Weights_S_.dta;"""ID_t""";;
SC3_xPlausibleValues_S_.dta;;Nicht mergebar - Hinweis auf NEPS Literatur dazu und das R Paket;
SC3_xTargetCompetencies_S_.dta;"""ID_t""";;
SC3_xTargetCORONA_S_.dta;"""ID_t""";;
