Dataset;Linkage;Info;Sptype
SC4_spFurtherEdu2_D_.dta;;;
SC4_spGap_D_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC4_spMilitary_D_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC4_spParentGap_D_.dta;"""ID_t"" ""wave"" ""splink""";;
SC4_spParentSchool_D_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC4_spParentSibling_D_.dta;;Nicht mergebar - separat anbieten;
SC4_spParLeave_D_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC4_spPartner_D_.dta;;Nicht mergebar - separat anbieten;
SC4_spSchool_D_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC4_spSchoolExtExam_D_.dta;"""ID_t"" ""wave""";;
SC4_spSibling_D_.dta;;Nicht mergebar - separat anbieten;
SC4_spUnemp_D_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC4_spVocExtExam_D_.dta;"""ID_t"" ""wave""";;
SC4_spVocPrep_D_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC4_spVocTrain_D_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC4_spVolunteerWork_D_.dta;;Nicht mergebar - separat anbieten;
SC4_TargetMethods_D_.dta;"""ID_t"" ""wave""";;
SC4_Weights_D_.dta;"""ID_t""";;
SC4_xTargetCompetencies_D_.dta;"""ID_t""";;
SC4_xTargetCORONA_D_.dta;"""ID_t""";;
SC4_xTargetSpecialNeedsCompetencies_D_.dta;"""ID_t""";;
;;;
SC3_Biography_D_.dta;;nicht mergebar da schon im personenjahresdatensatz;
SC3_CohortProfile_D_.dta;"""ID_t"" ""wave""";;
SC3_EditionBackups_D_.dta;;Nicht mergebar - nicht anbieten;
SC3_Education_D_.dta;;Nicht mergebar - separat anbieten;
SC3_FurtherEducation_D_.dta;;Nicht mergebar - separat anbieten;
SC3_ParentMethods_D_.dta;"""ID_t"" ""wave""";;
SC3_pCourseClass_D_.dta;;Nicht mergebar - separat anbieten;
SC3_pCourseGerman_D_.dta;;Nicht mergebar - separat anbieten;
SC3_pCourseMath_D_.dta;;Nicht mergebar - separat anbieten;
SC3_pEducator_D_.dta;;Nicht mergebar - separat anbieten;
SC3_pParent_D_.dta;"""ID_t"" ""wave""";;
SC3_pTarget_D_.dta;"""ID_t"" ""wave""";;
SC3_spChild_D_.dta;;Nicht mergebar - separat anbieten;
SC3_spChildCohab_D_.dta;;Nicht mergebar - separat anbieten;
SC3_spCourses_D_.dta;;Nicht mergebar - separat anbieten;
SC3_spEmp_D_.dta;"""ID_t"" ""wave"" ""splink""";;26
SC3_spFurtherEdu1_D_.dta;;Nicht mergebar - separat anbieten;
SC3_spGap_D_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC3_spMilitary_D_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC3_spParentGap_D_.dta;"""ID_t"" ""wave"" ""splink""";;
SC3_spParentSchool_D_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC3_spParLeave_D_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC3_spSchool_D_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC3_spSchoolExtExam_D_.dta;"""ID_t"" ""wave""";;
SC3_spSibling_D_.dta;;Nicht mergebar - separat anbieten;
SC3_spSiblingTarget_D_.dta;;Nicht mergebar - separat anbieten;
SC3_spUnemp_D_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC3_spVocExtExam_D_.dta;"""ID_t"" ""wave""";;
SC3_spVocPrep_D_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC3_spVocTrain_D_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC3_spVolunteerWork_D_.dta;;Nicht mergebar - separat anbieten;
SC3_TargetMethods_D_.dta;"""ID_t"" ""wave""";;
SC3_Weights_D_.dta;"""ID_t""";;
SC3_xPlausibleValues_D_.dta;;Nicht mergebar - Hinweis auf NEPS Literatur dazu und das R Paket;
SC3_xTargetCompetencies_D_.dta;"""ID_t""";;
SC3_xTargetCORONA_D_.dta;"""ID_t""";;
